Id,ActivityHour,TotalIntensity,AverageIntensity,,Date,Time
1503960366,04-12-2016 00:00,20,0.333333,,04-12-2016,00:00:00
1503960366,04-12-2016 01:00,8,0.133333,,04-12-2016,01:00:00
1503960366,04-12-2016 02:00,7,0.116667,,04-12-2016,02:00:00
1503960366,04-12-2016 03:00,0,0,,04-12-2016,03:00:00
1503960366,04-12-2016 04:00,0,0,,04-12-2016,04:00:00
1503960366,04-12-2016 05:00,0,0,,04-12-2016,05:00:00
1503960366,04-12-2016 06:00,0,0,,04-12-2016,06:00:00
1503960366,04-12-2016 07:00,0,0,,04-12-2016,07:00:00
1503960366,04-12-2016 08:00,13,0.216667,,04-12-2016,08:00:00
1503960366,04-12-2016 09:00,30,0.5,,04-12-2016,09:00:00
1503960366,04-12-2016 10:00,29,0.483333,,04-12-2016,10:00:00
1503960366,04-12-2016 11:00,12,0.2,,04-12-2016,11:00:00
1503960366,04-12-2016 12:00,11,0.183333,,04-12-2016,12:00:00
1503960366,04-12-2016 13:00,6,0.1,,04-12-2016,13:00:00
1503960366,04-12-2016 14:00,36,0.6,,04-12-2016,14:00:00
1503960366,04-12-2016 15:00,58,0.966667,,04-12-2016,15:00:00
1503960366,04-12-2016 16:00,13,0.216667,,04-12-2016,16:00:00
1503960366,04-12-2016 17:00,16,0.266667,,04-12-2016,17:00:00
1503960366,04-12-2016 18:00,29,0.483333,,04-12-2016,18:00:00
1503960366,04-12-2016 19:00,39,0.65,,04-12-2016,19:00:00
1503960366,04-12-2016 20:00,41,0.683333,,04-12-2016,20:00:00
1503960366,04-12-2016 21:00,31,0.516667,,04-12-2016,21:00:00
1503960366,04-12-2016 22:00,9,0.15,,04-12-2016,22:00:00
1503960366,04-12-2016 23:00,21,0.35,,04-12-2016,23:00:00
1503960366,4/13/2016 12:00:00 AM,14,0.233333,,4/13/2016,12:00:00 AM
1503960366,4/13/2016 1:00:00 AM,0,0,,4/13/2016, 1:00:00 AM
1503960366,4/13/2016 2:00:00 AM,0,0,,4/13/2016, 2:00:00 AM
1503960366,4/13/2016 3:00:00 AM,4,0.066667,,4/13/2016, 3:00:00 AM
1503960366,4/13/2016 4:00:00 AM,0,0,,4/13/2016, 4:00:00 AM
1503960366,4/13/2016 5:00:00 AM,0,0,,4/13/2016, 5:00:00 AM
1503960366,4/13/2016 6:00:00 AM,0,0,,4/13/2016, 6:00:00 AM
1503960366,4/13/2016 7:00:00 AM,8,0.133333,,4/13/2016, 7:00:00 AM
1503960366,4/13/2016 8:00:00 AM,12,0.2,,4/13/2016, 8:00:00 AM
1503960366,4/13/2016 9:00:00 AM,27,0.45,,4/13/2016, 9:00:00 AM
1503960366,4/13/2016 10:00:00 AM,15,0.25,,4/13/2016,10:00:00 AM
1503960366,4/13/2016 11:00:00 AM,16,0.266667,,4/13/2016,11:00:00 AM
1503960366,4/13/2016 12:00:00 PM,15,0.25,,4/13/2016,12:00:00 PM
1503960366,4/13/2016 1:00:00 PM,10,0.166667,,4/13/2016, 1:00:00 PM
1503960366,4/13/2016 2:00:00 PM,46,0.766667,,4/13/2016, 2:00:00 PM
1503960366,4/13/2016 3:00:00 PM,13,0.216667,,4/13/2016, 3:00:00 PM
1503960366,4/13/2016 4:00:00 PM,10,0.166667,,4/13/2016, 4:00:00 PM
1503960366,4/13/2016 5:00:00 PM,23,0.383333,,4/13/2016, 5:00:00 PM
1503960366,4/13/2016 6:00:00 PM,25,0.416667,,4/13/2016, 6:00:00 PM
1503960366,4/13/2016 7:00:00 PM,13,0.216667,,4/13/2016, 7:00:00 PM
1503960366,4/13/2016 8:00:00 PM,0,0,,4/13/2016, 8:00:00 PM
1503960366,4/13/2016 9:00:00 PM,0,0,,4/13/2016, 9:00:00 PM
1503960366,4/13/2016 10:00:00 PM,11,0.183333,,4/13/2016,10:00:00 PM
1503960366,4/13/2016 11:00:00 PM,56,0.933333,,4/13/2016,11:00:00 PM
1503960366,4/14/2016 12:00:00 AM,4,0.066667,,4/14/2016,12:00:00 AM
1503960366,4/14/2016 1:00:00 AM,3,0.05,,4/14/2016, 1:00:00 AM
1503960366,4/14/2016 2:00:00 AM,0,0,,4/14/2016, 2:00:00 AM
1503960366,4/14/2016 3:00:00 AM,0,0,,4/14/2016, 3:00:00 AM
